"曲名","アーティスト","歌った回数","おすすめ","歌唱例リンク"
"天体観測","","3","","https://www.youtube.com/watch?v=i3sdvV53odk&t=3171s"
"白い恋人達","桑田佳祐","3","","https://www.youtube.com/watch?v=Vrb3E2OPBZU&t=1128s"
"夢想歌","Suara","3","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=1750s"
"惑星ループ","Eve","3","","https://www.youtube.com/watch?v=ngo1R18xacM&t=1435s"
"檄！帝〜最終章〜","","3","","https://www.youtube.com/watch?v=q63Bi1dalMQ&t=5620s"
"蕾","","3","","https://www.youtube.com/watch?v=UG0GAz2A9Dc&t=1983s"
"1/3の純情な感情","","2","","https://www.youtube.com/watch?v=ta4TEFnRbxE&t=2724s"
"366日","HY","2","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=718s"
"3月9日","","2","","https://www.youtube.com/watch?v=AXTljJMlTHs&t=2022s"
"7-seven-","Janne Da Arc","2","","https://www.youtube.com/watch?v=UG0GAz2A9Dc&t=3230s"
"Bunny Girl","AKASAKI","2","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=4665s"
"COLORS","","2","","https://www.youtube.com/watch?v=ta4TEFnRbxE&t=1800s"
"DAN DAN 心惹かれてく","","2","","https://www.youtube.com/watch?v=ngo1R18xacM&t=3268s"
"DAYS","FLOW","2","","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=778s"
"DISCOTHEQUE","","2","","https://www.youtube.com/watch?v=mfSlpS_JIlU&t=2096s"
"EDEN～君がいない～","","2","","https://www.youtube.com/watch?v=EoUoIBQwcqw&t=469s"
"Hello, Again 〜昔からある場所〜","","2","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=1265s"
"Lemon","米津玄師","2","","https://www.youtube.com/watch?v=IDP3CCpdhF4&t=587s"
"Lost my music","","2","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=8064s"
"Love Destiny","","2","","https://www.youtube.com/watch?v=EoUoIBQwcqw&t=1701s"
"Million Films","","2","","https://www.youtube.com/watch?v=chsDm-fkNFM&t=5s"
"only my railgun","","2","","https://www.youtube.com/watch?v=chsDm-fkNFM&t=1384s"
"Plazma","","2","","https://www.youtube.com/watch?v=q63Bi1dalMQ&t=1364s"
"RPG","SEKAI NO OWARI","2","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=1503s"
"Secret base～君がくれたもの～","","2","","https://www.youtube.com/watch?v=UG0GAz2A9Dc&t=431s"
"SHINY DAYS","","2","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=4375s"
"sister","","2","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=2470s"
"STAY AWAY","L'Arc〜en〜Ciel","2","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=2848s"
"The Biggest Dreamer","和田光司","2","","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=1136s"
"あずさ2号","狩人","2","","https://www.youtube.com/watch?v=q63Bi1dalMQ&t=4743s"
"いけないボーダーライン","","2","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=4750s"
"オリオンをなぞる","UNISON SQUARE GARDEN","2","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=3262s"
"コールボーイ","","2","","https://www.youtube.com/watch?v=ngo1R18xacM&t=1922s"
"コネクト","","2","","https://www.youtube.com/watch?v=C_Pk5p6gs7g&t=3038s"
"さくらんぼ","","2","","https://www.youtube.com/watch?v=48limf1aQUc&t=8893s"
"シンデレラボーイ","","2","","https://www.youtube.com/watch?v=-kzJFnxTUNs&t=497s"
"せーのっ！","","2","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=156s"
"ダンデライオン","","2","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=279s"
"とまどい→レシピ","","2","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=5413s"
"ドライフラワー","優里","2","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=11276s"
"はじめてのチュウ","","2","","https://www.youtube.com/watch?v=rL-nsjE7Zog&t=4003s"
"ヒトリノ夜","","2","","https://www.youtube.com/watch?v=i6RQk6p94r0&t=712s"
"フォニイ","","2","","https://www.youtube.com/watch?v=48limf1aQUc&t=6066s"
"ふたりの場所","","2","","https://www.youtube.com/watch?v=EoUoIBQwcqw&t=2143s"
"ブルーバード","","2","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=4119s"
"フレンズ","レベッカ","2","","https://www.youtube.com/watch?v=AXTljJMlTHs&t=1623s"
"マジLOVE1000%","","2","","https://www.youtube.com/watch?v=29K5fzfoe8g&t=1474s"
"まっがーれ↓スペクタクル","","2","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=2703s"
"ゆずれない願い","田村直美","2","","https://www.youtube.com/watch?v=roIDeXEmIMc&t=3871s"
"ようこそジャパリパークへ","","2","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=4421s"
"ラフメイカー","","2","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=430s"
"レディメイド","","2","","https://www.youtube.com/watch?v=GlrtlvGjaGI&t=4715s"
"愛は勝つ","","2","","https://www.youtube.com/watch?v=UG0GAz2A9Dc&t=844s"
"愛をとりもどせ!!","クリスタルキング","2","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=3616s"
"英雄","doa","2","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=1083s"
"嫁に来ないか","新沼謙治","2","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=6309s"
"花の塔","","2","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=2248s"
"花の巴里","","2","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=6428s"
"霞ゆく空背にして","","2","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=2527s"
"怪獣の花唄","","2","","https://www.youtube.com/watch?v=-kzJFnxTUNs&t=837s"
"限界突破×サバイバー","","2","","https://www.youtube.com/watch?v=C_Pk5p6gs7g&t=1201s"
"残響散歌","Aimer","2","","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=1511s"
"思想犯","","2","","https://www.youtube.com/watch?v=q63Bi1dalMQ&t=2182s"
"修羅","","2","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=3918s"
"春よ、来い","松任谷由実","2","","https://www.youtube.com/watch?v=Vrb3E2OPBZU&t=196s"
"初音ミクの消失","","2","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=6318s"
"少女A","","2","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=1870s"
"硝子の少年","KinKi Kids","2","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=1014s"
"深愛","","2","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=2135s"
"青と夏","Mrs. GREEN APPLE","2","","https://www.youtube.com/watch?v=BPdOVU7rS5A&t=7216s"
"全力少年","","2","","https://www.youtube.com/watch?v=BPdOVU7rS5A&t=6372s"
"組曲『ニコニコ動画』","","2","","https://www.youtube.com/watch?v=29K5fzfoe8g&t=1830s"
"打上花火","","2","","https://www.youtube.com/watch?v=cICzuveEcE4&t=4702s"
"宙船","TOKIO","2","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=1584s"
"轍","コブクロ","2","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=1799s"
"徒花ネクロマンシー","","2","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=1916s"
"東京テディベア","","2","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=8576s"
"謎","小松未歩","2","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=11651s"
"日本ブレイク工業 社歌","","2","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=3729s"
"拍手喝采歌合","","2","","https://www.youtube.com/watch?v=6QqwEASS4Wc&t=2730s"
"変わらないもの","","2","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=2394s"
"忘れてやらない","","2","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=1111s"
"魔弾 ～Der Freischutz～","T.M.Revolution","2","","https://www.youtube.com/watch?v=ta4TEFnRbxE&t=1420s"
"勇者王誕生！","","2","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=1987s"
"檄！帝国華撃団","","2","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=1404s"
"睨めっ娘","","2","","https://www.youtube.com/watch?v=mNKN7MIPe4U&t=982s"
"～infinity～∞","","1","","https://www.youtube.com/watch?v=roIDeXEmIMc&t=3000s"
"1/2","","1","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=2070s"
"1/6の夢旅人2002","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=3307s"
"3年目の浮気","","1","","https://www.youtube.com/watch?v=Q5hrJzGKYB8&t=6237s"
"A・RA・SHI","嵐","1","","https://www.youtube.com/watch?v=P23nZJKKfvI&t=2690s"
"Agapē","メロキュア","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=5312s"
"Believe","Folder5","1","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=776s"
"BRAIN","","1","","https://www.youtube.com/watch?v=roIDeXEmIMc&t=647s"
"Cagayake!GIRLS","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=5844s"
"CARNIBAL・BABEL","","1","","https://www.youtube.com/watch?v=6QqwEASS4Wc&t=5028s"
"CLEAR","","1","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=4338s"
"Don't say ""lazy""","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=6149s"
"Exterminate","","1","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=4583s"
"First Love","","1","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=2032s"
"FOR REAL","","1","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=2502s"
"GIRLS' LEGEND U","","1","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=255s"
"Give a reason","林原めぐみ","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=7959s"
"Grand symphony","","1","","https://www.youtube.com/watch?v=i3sdvV53odk&t=770s"
"Help me, ERINNNNN!!!","","1","","https://www.youtube.com/watch?v=wns2yj43ixg&t=3709s"
"HOWLING","","1","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=2909s"
"IN MY DREAM","真行寺恵里","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=4324s"
"K","BUMP OF CHICKEN","1","","https://www.youtube.com/watch?v=RNp7-Um4jBg&t=13919s"
"Love so sweet","嵐","1","","https://www.youtube.com/watch?v=P23nZJKKfvI&t=242s"
"Love somebody","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=8907s"
"LOVELOVELOVE","","1","","https://www.youtube.com/watch?v=ak9IIuJ71k0&t=4021s"
"Lovers Again","","1","","https://www.youtube.com/watch?v=IDP3CCpdhF4&t=3580s"
"Lunatic Gate","","1","","https://www.youtube.com/watch?v=FeeQIQONzUQ&t=1585s"
"magnet","","1","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=5375s"
"Northern lights","","1","","https://www.youtube.com/watch?v=EoUoIBQwcqw&t=1428s"
"Over Soul","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=7744s"
"POP START","平井堅","1","","https://www.youtube.com/watch?v=ahiCaFBtiOY&t=27s"
"Pretender","Official髭男dism","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=1824s"
"Q&A リサイタル！","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=3987s"
"Reckless fire","","1","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=976s"
"Rumbling hearts","","1","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=1332s"
"Rusty Nail","","1","","https://www.youtube.com/watch?v=Q5hrJzGKYB8&t=1594s"
"SAY YES","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=9837s"
"Shangri-La","angela","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=9659s"
"Sparkling Daydream","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=5476s"
"START:DASH","","1","","https://www.youtube.com/watch?v=i3sdvV53odk&t=437s"
"Sunny Day Sunday","センチメンタル・バス","1","","https://www.youtube.com/watch?v=E2Y1y86oZrQ&t=3316s"
"ultra soul","B'z","1","","https://www.youtube.com/watch?v=uh6xmtzJdMs&t=1371s"
"UNION","","1","","https://www.youtube.com/watch?v=UeFjUe7fYf8&t=699s"
"W/X/Y","","1","","https://www.youtube.com/watch?v=roIDeXEmIMc&t=1660s"
"WILL","","1","","https://www.youtube.com/watch?v=UeFjUe7fYf8&t=2620s"
"アゲハ蝶","","1","","https://www.youtube.com/watch?v=chsDm-fkNFM&t=2782s"
"あなたに","","1","","https://www.youtube.com/watch?v=rrownzESO8Q&t=3314s"
"アポロ","ポルノグラフィティ","1","","https://www.youtube.com/watch?v=E2Y1y86oZrQ&t=991s"
"アローラ！！","","1","","https://www.youtube.com/watch?v=RNp7-Um4jBg&t=7348s"
"インフィニティ","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=3860s"
"ヴィーナスとジーザス","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=6316s"
"うい麦畑でつかまえて","","1","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=1462s"
"うっせえわ","","1","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=5003s"
"え？あぁ、そう。","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=9500s"
"おちゃめ機能","","1","","https://www.youtube.com/watch?v=48limf1aQUc&t=8019s"
"オラはにんきもの","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=5048s"
"かわいいだけじゃだめですか？","","1","","https://www.youtube.com/watch?v=uGjRNg8mXm4&t=8980s"
"カントリー・ロード","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=7428s"
"キセキ","","1","","https://www.youtube.com/watch?v=ngo1R18xacM&t=3813s"
"キューティーハニー","倖田來未","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=4809s"
"ギリギリchop","","1","","https://www.youtube.com/watch?v=wlh059y12eE&t=3369s"
"クラクラ","","1","","https://www.youtube.com/watch?v=-kzJFnxTUNs&t=1490s"
"クラスで一番スゴイやつ","","1","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=4391s"
"グロウアップ","","1","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=3514s"
"さくら","ケツメイシ","1","","https://www.youtube.com/watch?v=i6RQk6p94r0&t=3026s"
"サボテンの花","","1","","https://www.youtube.com/watch?v=mfSlpS_JIlU&t=602s"
"サヨナラバス","","1","","https://www.youtube.com/watch?v=wlh059y12eE&t=4811s"
"さらば","","1","","https://www.youtube.com/watch?v=ak9IIuJ71k0&t=3089s"
"さんぽ","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=7489s"
"シカ色デイズ","","1","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=7876s"
"じゃじゃ馬にさせないで","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=8422s"
"シルビア","","1","","https://www.youtube.com/watch?v=FeeQIQONzUQ&t=2690s"
"セロリ","山崎まさよし","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=8943s"
"センチメンタル","","1","","https://www.youtube.com/watch?v=wlh059y12eE&t=1513s"
"ダーリンダンス","","1","","https://www.youtube.com/watch?v=uGjRNg8mXm4&t=7952s"
"タイプ:ワイルド","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=2849s"
"タイミング〜Timing～","ブラックビスケッツ","1","","https://www.youtube.com/watch?v=E2Y1y86oZrQ&t=4839s"
"タイムパラドックス","","1","","https://www.youtube.com/watch?v=i3sdvV53odk&t=1712s"
"タッチ","岩崎良美","1","","https://www.youtube.com/watch?v=E2Y1y86oZrQ&t=2595s"
"チェリー","","1","","https://www.youtube.com/watch?v=i6RQk6p94r0&t=1487s"
"チチをもげ！","","1","","https://www.youtube.com/watch?v=UeFjUe7fYf8&t=1504s"
"ツバサ","アンダーグラフ","1","","https://www.youtube.com/watch?v=P23nZJKKfvI&t=5253s"
"なごり雪","","1","","https://www.youtube.com/watch?v=UG0GAz2A9Dc&t=1645s"
"ノーザンクロス","","1","","https://www.youtube.com/watch?v=chsDm-fkNFM&t=342s"
"ハッピージャムジャム","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=8338s"
"ハナミズキ","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=4490s"
"パプリカ","","1","","https://www.youtube.com/watch?v=roIDeXEmIMc&t=2418s"
"バリバリ最強ナンバー1","","1","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=2902s"
"ひだまりの詩","","1","","https://www.youtube.com/watch?v=Q5hrJzGKYB8&t=7084s"
"ビビデバ","","1","","https://www.youtube.com/watch?v=uGjRNg8mXm4&t=7143s"
"ひまわりの約束","","1","","https://www.youtube.com/watch?v=29K5fzfoe8g&t=718s"
"ヒャダインのカカカタ☆カタオモイ","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=4693s"
"ヒロイン","","1","","https://www.youtube.com/watch?v=ak9IIuJ71k0&t=1285s"
"プリキュア5、フル・スロットル GO GO!","","1","","https://www.youtube.com/watch?v=-YrJcK-o0qE&t=351s"
"プレパレード","","1","","https://www.youtube.com/watch?v=C_Pk5p6gs7g&t=3646s"
"マリアの爪痕","Janne Da Arc","1","","https://www.youtube.com/watch?v=uh6xmtzJdMs&t=3213s"
"ミックスナッツ","","1","","https://www.youtube.com/watch?v=-kzJFnxTUNs&t=2258s"
"モエチャッカファイア","","1","","https://www.youtube.com/watch?v=6QqwEASS4Wc&t=162s"
"もってけ！セーラー服","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=2491s"
